Company,File No,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Anthem Health Plans, Inc",{'': 7045593},2022-05-31,2022-06-02,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7043381},2022-02-28,2022-06-02,Group,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed
"Anthem Health Plans, Inc",{'': 7044860},2022-05-03,2022-06-02,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed
"Anthem Health Plans, Inc",{'': 7043381},2022-02-28,2022-06-02,Group,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,A & H,A & H,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
"Anthem Health Plans, Inc",{'': 7044860},2022-05-03,2022-06-02,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7044266},2022-04-07,2022-06-02,A & H,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044266},2022-04-07,2022-06-02,A & H,Health Only,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7043381},2022-02-28,2022-06-02,A & H,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,A & H,Claim Handling,Claim Handling Other,Claim Settled,Provider Issue,1550.78,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7044346},2022-04-11,2022-06-02,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7043381},2022-02-28,2022-06-02,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Satisfied,6467.3,Closed
"Anthem Health Plans, Inc",{'': 7044266},2022-04-07,2022-06-02,Individual,Health Exchange,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044860},2022-05-03,2022-06-02,Group,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,Individual,Medicare Supplement Plan G,Marketing & Sales,Duplication of Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7044266},2022-04-07,2022-06-02,Individual,Health Only,Claim Handling,Surprise Billing,Claim Settled,Furnished Information,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044860},2022-05-03,2022-06-02,Group,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,147.58,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,A & H,Medicare Supplement(Policies or Certs),Marketing & Sales,Duplication of Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
"Anthem Health Plans, Inc",{'': 7045602},2022-06-01,2022-06-03,Group,Health Only,Claim Handling,Medically Necessary,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7052007},2023-02-23,2023-03-17,A & H,Medicare Supplement Plan G,Marketing & Sales,Duplicate Coverage,Compromised Settlement/Resolution,Premium Refund,2179.32,Closed
UnitedHealthcare Insurance Company,{'': 7049656},2022-11-23,2023-01-25,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,A & H,Medicare Supplement(Policies or Certs),PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049689},2022-11-28,2023-01-25,A & H,Health Only,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,Individual,A & H,PolicyHolder Service,Coverage Question,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
"Anthem Health Plans, Inc",{'': 7044602},2022-04-22,2022-06-03,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,A & H,A & H,PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Claim Handling Other,Claim Settled,Provider Issue,1550.78,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Provider Issue,1550.78,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,A & H,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Claim Paid With Interest,1550.78,Closed
Progressive Direct Insurance Company,{'': 7048406},2022-10-04,2022-12-13,Motorhome,Comprehensive,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0.0,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,A & H,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid With Interest,1550.78,Closed
"Anthem Health Plans, Inc",{'': 7049968},2022-12-08,2022-12-13,Individual,A & H,PolicyHolder Service,Policy Information,No Action Requested/Required,Satisfactory Explanation,0.0,Closed
Cigna Health and Life Insurance Company,{'': 7045389},2022-05-20,2022-06-06,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0.0,Closed
"Anthem Health Plans, Inc",{'': 7043327},2022-02-24,2022-06-06,Group,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,16383.32,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Claim Paid With Interest,1550.78,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,A & H,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,1550.78,Closed
UnitedHealthcare Insurance Company,{'': 7052741},2023-03-17,2023-05-02,Group,Health Only,Claim Handling,Claim Handling Other,Claim Settled,Claim Paid With Interest,1550.78,Closed
